"River_Basin_Area","Water_Object","Station_Number"," Station_Location","Opening_Year","Monitoring_Type","Longitude_Original","Latitude_Original","Longitude","Latitude"
"Սևան","Lake Sevan","127-SS","Մոդելային-ափամերձ",2011,"Հսկողական","45° 0' 27.482"" E","40° 30' 45.394"" N",45.007634,40.512609
"Սևան","Lake Sevan","127՛-SS","Մոդելային-կենտրոնական",2011,"Հսկողական","45° 1' 38.271"" E","40° 31' 10.805"" N",45.027297,40.519668
"Սևան","Lake Sevan","128-SS","Լճաշեն-ափամերձ",2011,"Հսկողական","44° 57' 37.905"" E","40° 31' 33.193"" N",44.960529,40.525887
"Սևան","Lake Sevan","128՛-SS","Լճաշեն-կենտրոնական",2011,"Հսկողական","44° 59' 0.073"" E","40° 31' 13.255"" N",44.983354,40.520349
"Սևան","Lake Sevan","129-SS","Ծովագյուղ-ափամերձ",2011,"Հսկողական","44° 59' 4.425"" E","40° 37' 11.212"" N",44.984563,40.619781
"Սևան","Lake Sevan","129՛-SS","Ծովագյուղ-կենտրոնական",2011,"Հսկողական","44° 58' 57.665"" E","40° 36' 43.610"" N",44.982685,40.612114
"Սևան","Lake Sevan","130-SS","Գյունեյ-ափամերձ",2011,"Հսկողական","45° 2' 42.900"" E","40° 36' 32.700"" N",45.04525,40.609083
"Սևան","Lake Sevan","130՛-SS","Գյունեյ-կենտրոնական",2011,"Հսկողական","45° 2' 46.700"" E","40° 36' 32.400"" N",45.046306,40.609
"Սևան","Lake Sevan","131-SS","Շորժա-ափամերձ",2011,"Հսկողական","45° 15' 5.800"" E","40° 29' 23.100"" N",45.251611,40.48975
"Սևան","Lake Sevan","131՛-SS","Շորժա-կենտրոնական",2011,"Հսկողական","45° 16' 10.600"" E","40° 29' 48.800"" N",45.269611,40.496889
